,age,sex,eduyear,employed,income,votepark,lovepark,conserv,lifehappy
191,51,1,12,1,220,1,0.300000012,2.599999905,4
192,28,0,16,1,365,0,0,2.900000095,3
194,36,0,14,0,450,0,0.300000012,2.400000095,4
195,35,1,16,1,250,1,0.300000012,2.700000048,5
197,25,1,18,0,1200,1,0,2.900000095,2
198,67,1,12,1,500,1,0.699999988,3.200000048,4
199,39,0,18,1,650,1,0.699999988,2.700000048,4
200,43,0,14,1,500,1,0.5,3.700000048,4
202,39,0,14,1,1200,1,0.300000012,2.700000048,2
203,41,1,18,1,750,0,0,2.5,2
204,39,0,12,0,400,0,0.699999988,2.700000048,3
205,71,0,9,0,75,1,0.699999988,4.5,5
206,54,1,12,1,300,1,0.300000012,3.099999905,3
207,52,1,18,1,480,1,0.5,3,3
209,64,0,6,1,68,1,1,4,3
210,62,0,9,0,310,1,0.699999988,3.799999952,4
211,23,1,16,0,54,0,0.300000012,2.900000095,3
212,72,0,6,0,50,1,0.5,3,3
213,76,1,6,0,0,0,0.699999988,3.400000095,1
214,64,0,6,0,45,1,0.5,1.5,5
215,69,1,9,1,150,1,0.699999988,4.099999905,3
216,79,0,12,0,40,0,0.5,3.200000048,3
217,34,0,16,1,1000,1,0.5,3.700000048,4
218,53,1,12,1,1470,0,0,2.200000048,4
219,65,0,16,0,700,1,0.699999988,3.400000095,5
220,44,0,16,1,1100,1,0,3.5,4
221,66,1,12,0,700,0,0,1.899999976,3
222,37,0,14,1,1000,1,0,2.799999952,4
223,66,1,18,0,300,0,0.5,3,4
224,63,1,12,0,2000,1,0.699999988,4.400000095,3
225,30,1,16,0,400,0,0.300000012,3,3
226,50,0,12,1,325,0,0.300000012,2.599999905,4
228,78,1,9,1,90,1,0.699999988,2.599999905,2
230,61,0,12,0,650,1,0.5,3,3
231,76,1,9,1,260,1,0.699999988,2.799999952,2
232,63,1,12,0,941,1,0.699999988,4.099999905,1
233,62,0,12,1,460,1,1,3.799999952,2
234,80,0,6,0,20,1,1,2.799999952,5
236,59,1,9,1,350,1,0.5,2.700000048,4
237,41,1,12,1,650,1,0.699999988,3.200000048,3
238,78,0,6,0,0,1,1,3.299999952,2
239,78,1,9,0,150,1,0,3,3
240,61,1,14,1,550,1,0.699999988,3,2
241,70,1,12,1,95,1,1,3.5,3
242,59,0,16,1,600,1,0.5,3.599999905,3
243,68,0,6,1,410,1,0.699999988,3.200000048,3
245,58,1,9,0,60,1,0.300000012,3.099999905,2
248,70,1,12,1,280,1,0.699999988,3.700000048,3
249,72,0,9,0,80,1,0.699999988,3,4
250,39,0,18,1,650,0,0,1.399999976,3
251,78,0,6,0,150,1,1,3.200000048,3
253,45,0,12,1,400,1,0.5,3,2
254,77,0,6,0,200,1,1,3.099999905,3
255,43,1,12,1,650,0,0,3.400000095,3
256,59,1,16,1,1000,1,0.699999988,3.299999952,4
257,40,0,12,1,580,0,0.5,2.700000048,4
259,58,1,12,1,190,0,0.5,2.799999952,3
261,50,0,12,1,400,1,0.300000012,2.799999952,3
262,55,0,9,0,250,1,1,3.799999952,3
264,24,0,16,0,400,0,0.5,2.700000048,4
265,29,0,14,1,755,0,0,3.200000048,4
266,48,1,12,1,360,0,0.300000012,1.899999976,3
267,46,0,12,1,670,1,0.699999988,3,4
268,75,0,9,0,50,0,0,2.599999905,3
269,40,1,18,1,490,0,0,2.799999952,4
270,44,0,16,1,1050,0,0.300000012,2.400000095,3
271,53,1,18,1,700,1,1,3.700000048,2
272,46,1,16,1,480,0,0,1.600000024,4
273,40,0,16,0,700,0,0.300000012,2.400000095,4
274,53,0,16,0,850,0,0,1.899999976,5
276,41,1,16,1,430,0,0.300000012,2.599999905,5
277,41,0,12,1,250,0,0.5,3.099999905,3
278,49,0,12,1,500,1,0.5,3.599999905,3
279,62,0,9,0,260,1,0.699999988,3,3
280,25,0,14,0,500,0,0,2.799999952,3
281,30,1,16,1,1500,0,0,3.200000048,5
282,24,1,16,0,400,1,0.5,3.5,4
284,51,0,16,1,660,1,0.5,3,4
290,71,1,12,0,130,1,0.5,3.5,3
291,52,0,12,1,450,0,0.300000012,3,4
292,50,0,16,1,400,1,0.699999988,2.400000095,3
293,24,1,16,0,200,0,0.300000012,3.200000048,3
294,32,1,16,1,200,1,0.699999988,2.599999905,3
296,27,1,16,0,300,0,0,2,4
297,25,1,16,1,134,1,0,3.900000095,3
298,79,1,16,0,16,1,0.699999988,3.400000095,3
299,45,0,18,1,500,0,0,3.099999905,4
300,30,1,14,1,370,0,1,3.299999952,5
301,60,1,12,1,300,1,0.5,2.799999952,2
303,29,0,18,1,850,0,0,1.700000048,5
304,29,1,14,0,530,1,0.5,3.099999905,3
305,26,0,16,0,600,0,0.5,2.900000095,3
306,24,0,16,1,1000,0,0,3.700000048,4
307,49,1,16,1,1500,1,0.300000012,3.099999905,4
308,41,0,14,1,500,0,0,2.900000095,3
309,23,0,16,0,800,0,0.300000012,3,4
310,33,1,16,0,250,0,0,2.700000048,3
313,51,0,12,0,400,1,0,2.799999952,4
314,67,0,6,0,80,0,0.300000012,3.299999952,3
